,Date,Max_Drawdown,Drawdown
0,2017-01-02 00:00:00,-0.006769745796052343,-0.006769745796052343
1,2017-01-03 00:00:00,-0.0029442085989841464,-0.0006058601699809871
2,2017-01-04 00:00:00,-0.0014153407174395355,-0.0014153407174395355
3,2017-01-05 00:00:00,-0.0016618601200300215,-0.0016618601200300215
4,2017-01-06 00:00:00,-0.000847345774097218,-0.00018940621152918431
5,2017-01-09 00:00:00,-0.0010710713104333306,-0.0010063027430892875
6,2017-01-10 00:00:00,-0.000632700859977642,-0.000632700859977642
7,2017-01-11 00:00:00,-0.010921720642765552,-0.010921720642765552
8,2017-01-12 00:00:00,-0.002006045776181461,-0.000837059652135189
9,2017-01-13 00:00:00,-0.0015686382064746464,-0.0015686382064746464
10,2017-01-16 00:00:00,-0.0016562434240157725,-0.0016562434240157725
11,2017-01-17 00:00:00,-0.004375829471663825,-0.004375829471663825
12,2017-01-18 00:00:00,-0.0029383413432232932,-0.0007235073035332374
13,2017-01-19 00:00:00,-0.0022617706478025817,-0.00030483168546175754
14,2017-01-20 00:00:00,-0.004897198817000001,-0.004897198817000001
15,2017-01-23 00:00:00,-0.0013927725501354897,-0.0003236689543405175
16,2017-01-24 00:00:00,-0.0010158381495695994,-8.87624473328791e-05
17,2017-01-25 00:00:00,-0.0271633877527057,-0.0271633877527057
18,2017-01-27 00:00:00,-0.0024974226548919727,-0.0024974226548919727
19,2017-01-30 00:00:00,-0.0035114443411343446,-0.0035114443411343446
20,2017-01-31 00:00:00,-0.0017749807904132691,-0.0017749807904132691
21,2017-02-01 00:00:00,-0.012191406867581661,-0.012191406867581661
22,2017-02-02 00:00:00,-0.006714536103639261,-0.0016846264927015413
23,2017-02-03 00:00:00,-0.004972109419882825,-0.004849030243180097
24,2017-02-06 00:00:00,-0.0022852281183510306,-0.0022852281183510306
25,2017-02-07 00:00:00,-0.0009613495572985288,-0.0009613495572985288
26,2017-02-08 00:00:00,-0.009542853941973944,-0.009542853941973944
27,2017-02-09 00:00:00,-0.004795137011555618,-0.0036073800490669444
28,2017-02-10 00:00:00,-0.0030105750513740653,-0.0012761575340057485
29,2017-02-13 00:00:00,-0.0078103866619127936,-0.0078103866619127936
30,2017-02-14 00:00:00,-0.001322528407838476,-0.00016778073900505422
31,2017-02-15 00:00:00,-0.0044492955018236025,-0.0016381671769941707
32,2017-02-16 00:00:00,-0.00854903016879465,-0.00854903016879465
33,2017-02-17 00:00:00,-0.0026272532023429856,-0.0006358597701434395
34,2017-02-20 00:00:00,-0.002031225447755575,-0.002031225447755575
35,2017-02-21 00:00:00,-0.008784862971755961,-0.008784862971755961
36,2017-02-22 00:00:00,-0.0014106500914126006,-0.0007770900008787271
37,2017-02-23 00:00:00,-0.0031554194427868827,-0.001251224209143292
38,2017-02-27 00:00:00,-0.0019148682163533872,-0.0019148682163533872
39,2017-02-28 00:00:00,-0.0013471592999495944,-0.00023686230868540364
40,2017-03-01 00:00:00,-0.002089875516542455,-0.0004150081983835464
41,2017-03-02 00:00:00,-0.022939568002055388,-0.022939568002055388
42,2017-03-03 00:00:00,-0.0005045826992222815,-0.00018798086928817362
43,2017-03-06 00:00:00,-0.005231717101971237,-0.005231717101971237
44,2017-03-07 00:00:00,-0.0005702048904837216,-0.00028262149984817445
45,2017-03-08 00:00:00,-0.010189816920146581,-0.010189816920146581
46,2017-03-09 00:00:00,-0.0050680886804414585,-0.0050680886804414585
47,2017-03-10 00:00:00,-0.0020649636571372157,-0.0020649636571372157
48,2017-03-14 00:00:00,-0.0008190442163470773,-0.0005293765003625296
49,2017-03-15 00:00:00,-0.0015814642413201402,-0.0015814642413201402
50,2017-03-16 00:00:00,-0.0018751597439156744,-0.000593463078986538
51,2017-03-17 00:00:00,-0.001207341650809993,-0.0002384863154339532
52,2017-03-20 00:00:00,-0.0007699165489936147,-0.00015398165004949525
53,2017-03-21 00:00:00,-0.0014732685832594642,-0.0014732685832594642
54,2017-03-22 00:00:00,-0.0026589634775042083,-0.0026589634775042083
55,2017-03-23 00:00:00,-0.00736016832531488,-0.00736016832531488
56,2017-03-24 00:00:00,-0.0016140649021484604,-0.0011783643006224058
57,2017-03-27 00:00:00,-0.0010501208307641336,-0.000921325170715625
58,2017-03-28 00:00:00,-0.0008900275495799726,-0.0008900275495799726
59,2017-03-29 00:00:00,-0.0023055725340393536,-0.0023055725340393536
60,2017-03-30 00:00:00,-0.007189991611015305,-0.007189991611015305
61,2017-03-31 00:00:00,-0.0008182666293267515,-0.0005915174038222278
62,2017-04-03 00:00:00,-0.00048796382994760544,-0.00024151420137547109
63,2017-04-05 00:00:00,-0.001244308885272683,-0.001244308885272683
64,2017-04-06 00:00:00,-0.002119097913750725,-0.0008191857019402847
65,2017-04-07 00:00:00,-0.0037535806635954827,-0.0037535806635954827
66,2017-04-10 00:00:00,-0.0005768703444324931,-0.0003275425120825756
67,2017-04-11 00:00:00,-0.0031545010756728453,-0.0031545010756728453
68,2017-04-12 00:00:00,-0.0050893879151436856,-0.0007159204689285614
69,2017-04-13 00:00:00,-0.0036856849794501944,-0.0036856849794501944
70,2017-04-17 00:00:00,-0.00057911394885196,-0.0001703267036502716
71,2017-04-18 00:00:00,-0.0066068995867036556,-0.0066068995867036556
72,2017-04-19 00:00:00,-0.001406013636683846,-0.00044119237718928423
73,2017-04-20 00:00:00,-0.001382737257942746,-0.001382737257942746
74,2017-04-21 00:00:00,-0.0029547439309922947,-0.0029547439309922947
75,2017-04-24 00:00:00,-0.002798234333560915,-0.002798234333560915
